@relation bank_data-weka.filters.unsupervised.attribute.Remove-R1

@attribute age numeric
@attribute income numeric
@attribute children numeric
@attribute gender {FEMALE,MALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute married {NO,YES}
@attribute car {NO,YES}
@attribute savings_acct {NO,YES}
@attribute current_acct {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data
49,30198.5,0,FEMALE,SUBURBAN,YES,YES,NO,YES,YES,YES
54,50186.1,2,FEMALE,RURAL,YES,NO,YES,YES,YES,YES
41,22916.1,0,FEMALE,SUBURBAN,YES,NO,NO,YES,NO,NO
19,9592.73,0,MALE,RURAL,NO,NO,YES,YES,NO,YES
52,34253.6,3,FEMALE,INNER_CITY,NO,YES,NO,YES,NO,NO
52,22792.3,1,FEMALE,INNER_CITY,YES,YES,YES,NO,NO,YES
64,51620.8,2,FEMALE,TOWN,NO,YES,YES,YES,NO,YES
56,19918.9,3,MALE,TOWN,YES,NO,YES,YES,YES,NO
56,29625.1,2,MALE,TOWN,YES,NO,NO,YES,NO,NO
19,12549,0,FEMALE,TOWN,YES,NO,YES,YES,NO,NO
56,51299.3,1,FEMALE,TOWN,YES,YES,YES,NO,NO,YES
27,17364.8,2,MALE,INNER_CITY,YES,YES,YES,NO,NO,YES
59,29866.9,1,FEMALE,INNER_CITY,NO,YES,NO,YES,NO,YES
56,47750.2,0,MALE,INNER_CITY,YES,YES,YES,YES,YES,NO
21,11281.5,0,MALE,TOWN,YES,NO,YES,YES,YES,NO
64,34073.8,3,MALE,INNER_CITY,YES,NO,YES,NO,YES,NO
62,46870.4,0,MALE,INNER_CITY,YES,NO,YES,YES,NO,NO
44,38453.7,2,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,YES
24,7756.36,0,FEMALE,INNER_CITY,NO,NO,NO,NO,NO,YES
52,28413.8,0,FEMALE,INNER_CITY,YES,NO,NO,YES,NO,NO
67,47198.6,2,FEMALE,SUBURBAN,YES,NO,YES,YES,NO,YES
41,20866.3,0,MALE,INNER_CITY,YES,YES,YES,YES,NO,NO
58,33204.3,1,FEMALE,TOWN,NO,NO,NO,NO,YES,YES
40,24823.5,2,MALE,INNER_CITY,NO,NO,NO,YES,NO,NO
19,17986.8,0,MALE,SUBURBAN,YES,NO,NO,YES,YES,YES
20,9909.82,3,FEMALE,INNER_CITY,YES,NO,NO,YES,NO,NO
56,26542.8,0,FEMALE,TOWN,NO,YES,YES,YES,NO,YES
46,32583.5,2,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,NO
30,14606.6,1,MALE,INNER_CITY,YES,NO,NO,YES,NO,NO
40,34836.8,1,FEMALE,TOWN,YES,YES,YES,YES,NO,YES
36,26920.8,0,FEMALE,TOWN,YES,NO,NO,YES,NO,NO
57,38248.3,3,FEMALE,INNER_CITY,NO,YES,NO,YES,YES,NO
49,15689.1,0,MALE,INNER_CITY,NO,NO,NO,YES,NO,NO
61,30157.7,1,MALE,INNER_CITY,NO,YES,NO,NO,NO,YES
29,14642.2,0,MALE,INNER_CITY,NO,YES,NO,YES,NO,YES
48,15933.3,0,FEMALE,INNER_CITY,YES,NO,YES,NO,NO,NO
56,44288.3,0,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO
40,22197.1,0,MALE,TOWN,NO,YES,NO,YES,NO,YES
58,38248.3,3,FEMALE,TOWN,YES,YES,YES,NO,NO,NO
60,22053.2,2,FEMALE,INNER_CITY,YES,YES,YES,NO,YES,NO
58,25468.5,0,FEMALE,SUBURBAN,NO,YES,NO,NO,YES,YES
67,23485.9,3,FEMALE,TOWN,YES,YES,NO,NO,YES,NO
40,25768.6,0,MALE,RURAL,YES,YES,YES,NO,NO,NO
48,34182.2,2,MALE,INNER_CITY,YES,NO,YES,YES,NO,YES
64,57444.5,1,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,YES
43,38059.8,0,MALE,TOWN,YES,YES,YES,NO,YES,NO
34,19481.3,0,FEMALE,RURAL,NO,NO,NO,YES,YES,YES
26,19563.8,3,MALE,RURAL,NO,YES,NO,NO,YES,NO
48,38598.4,0,MALE,INNER_CITY,YES,YES,NO,YES,NO,NO
35,20754.3,0,MALE,INNER_CITY,NO,NO,NO,NO,YES,YES
24,13864.6,3,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,YES
47,36599,3,MALE,SUBURBAN,YES,YES,YES,YES,NO,YES
52,45856.1,1,MALE,SUBURBAN,NO,NO,YES,YES,NO,YES
31,22362.3,0,MALE,SUBURBAN,NO,NO,YES,YES,NO,YES
41,21984,1,FEMALE,SUBURBAN,YES,YES,NO,NO,NO,YES
23,11073,2,MALE,SUBURBAN,YES,NO,YES,NO,NO,NO
27,18158.5,1,FEMALE,INNER_CITY,NO,YES,NO,YES,YES,YES
22,7304.2,0,MALE,INNER_CITY,NO,YES,YES,YES,YES,NO
67,58092,2,FEMALE,INNER_CITY,NO,YES,YES,YES,NO,YES
26,16518.6,0,FEMALE,INNER_CITY,YES,YES,NO,YES,NO,YES
58,46461.5,0,FEMALE,SUBURBAN,YES,NO,YES,YES,NO,NO
27,20058.7,0,MALE,RURAL,YES,NO,YES,YES,YES,NO
36,12533.2,1,MALE,INNER_CITY,NO,NO,YES,NO,YES,NO
31,22848.5,1,MALE,RURAL,YES,YES,NO,NO,NO,YES
28,25699.4,2,FEMALE,TOWN,YES,YES,YES,NO,NO,YES
57,21612.6,0,MALE,TOWN,YES,NO,YES,YES,YES,NO
64,48950.9,0,MALE,INNER_CITY,YES,YES,YES,YES,YES,NO
49,41438,1,MALE,INNER_CITY,NO,NO,YES,NO,NO,YES
22,11411,1,MALE,INNER_CITY,YES,YES,NO,YES,NO,NO
58,43940.6,0,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,NO
20,17239.5,1,MALE,TOWN,NO,YES,NO,YES,NO,YES
44,30488.7,0,FEMALE,RURAL,YES,NO,YES,YES,NO,NO
65,29866.3,3,FEMALE,TOWN,YES,NO,YES,NO,NO,NO
53,32184.4,2,FEMALE,INNER_CITY,YES,YES,NO,NO,NO,YES
34,17308.7,1,FEMALE,INNER_CITY,YES,YES,NO,YES,YES,YES
35,27863.9,2,MALE,RURAL,NO,NO,YES,YES,YES,NO
48,28920.6,0,MALE,TOWN,YES,NO,YES,NO,YES,NO
64,58367.3,1,FEMALE,TOWN,YES,YES,YES,YES,NO,YES
46,16849.3,0,MALE,TOWN,NO,YES,YES,YES,YES,NO
42,28138.5,0,FEMALE,RURAL,YES,NO,NO,YES,YES,YES
47,23038.2,0,MALE,INNER_CITY,YES,YES,YES,NO,NO,NO
23,11736.9,2,MALE,TOWN,NO,YES,YES,YES,YES,NO
35,16479.5,0,MALE,INNER_CITY,YES,YES,NO,NO,YES,YES
64,31415.7,1,FEMALE,INNER_CITY,NO,YES,YES,NO,YES,YES
18,12117.3,1,FEMALE,SUBURBAN,YES,NO,NO,YES,NO,NO
19,15417.1,1,MALE,INNER_CITY,YES,YES,NO,YES,NO,NO
40,29414.6,1,MALE,INNER_CITY,YES,NO,YES,NO,YES,YES
47,44682.1,0,MALE,INNER_CITY,YES,YES,YES,YES,NO,NO
43,36281,0,FEMALE,RURAL,YES,YES,YES,YES,NO,NO
38,33302.8,0,MALE,TOWN,NO,YES,NO,YES,YES,YES
21,15797.1,0,FEMALE,RURAL,YES,NO,YES,YES,NO,YES
40,31864.8,0,MALE,RURAL,YES,YES,YES,YES,NO,NO
52,43719.5,0,FEMALE,TOWN,YES,NO,YES,YES,NO,NO
35,30799.5,2,FEMALE,TOWN,YES,NO,NO,YES,NO,YES
53,48971.6,3,MALE,RURAL,YES,YES,YES,NO,NO,YES
38,34061.4,0,FEMALE,RURAL,NO,YES,YES,YES,NO,YES
42,28938.6,3,MALE,INNER_CITY,YES,YES,NO,NO,NO,NO
43,38540,0,MALE,TOWN,NO,YES,YES,NO,YES,NO
59,27045.1,0,FEMALE,INNER_CITY,NO,NO,NO,YES,NO,YES
59,51284.3,0,FEMALE,RURAL,NO,YES,YES,YES,YES,NO
24,16352.2,0,MALE,INNER_CITY,NO,NO,YES,YES,YES,NO
27,11866.4,0,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,NO
32,13267.6,0,FEMALE,TOWN,YES,YES,YES,YES,YES,NO
65,61554.6,0,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO
18,13700.2,1,MALE,SUBURBAN,NO,NO,YES,YES,NO,NO
66,46963.9,1,MALE,TOWN,YES,NO,YES,YES,NO,YES
41,23475.6,0,MALE,INNER_CITY,YES,YES,NO,YES,YES,YES
64,24554.1,0,FEMALE,SUBURBAN,YES,YES,YES,NO,YES,NO
23,18050,0,FEMALE,INNER_CITY,YES,YES,NO,YES,YES,YES
29,15237.6,2,FEMALE,RURAL,YES,YES,NO,YES,NO,NO
28,20555,0,MALE,TOWN,NO,YES,YES,YES,NO,YES
57,28421.7,2,FEMALE,TOWN,YES,YES,YES,YES,YES,NO
38,21876.5,0,MALE,INNER_CITY,YES,NO,NO,YES,NO,NO
34,12810.2,3,FEMALE,SUBURBAN,NO,NO,YES,YES,NO,YES
43,15109.4,0,MALE,SUBURBAN,YES,NO,NO,YES,NO,YES
63,37414.7,3,MALE,TOWN,NO,YES,YES,YES,NO,NO
62,41521.6,0,FEMALE,INNER_CITY,YES,NO,YES,YES,YES,NO
51,25372.8,0,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,NO
61,21139.8,2,MALE,INNER_CITY,YES,YES,YES,NO,NO,NO
41,27757.6,0,FEMALE,TOWN,NO,NO,YES,YES,NO,YES
31,22678.1,1,FEMALE,TOWN,NO,YES,YES,YES,YES,YES
33,12178.5,2,FEMALE,TOWN,YES,NO,YES,YES,YES,NO
43,26106.7,1,MALE,RURAL,NO,NO,NO,YES,NO,YES
40,27417.6,0,MALE,INNER_CITY,YES,NO,YES,YES,YES,NO
47,23337.2,2,MALE,TOWN,YES,NO,YES,YES,YES,NO
46,43395.5,1,MALE,TOWN,NO,YES,YES,YES,NO,YES
30,11536.2,2,MALE,RURAL,YES,NO,NO,YES,YES,NO
47,44658.6,2,MALE,INNER_CITY,NO,YES,YES,YES,NO,YES
44,32762.5,0,MALE,RURAL,NO,NO,YES,YES,YES,NO
23,16403.8,0,MALE,RURAL,YES,YES,YES,NO,NO,NO
28,21184.7,1,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,YES
64,49917.3,0,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,NO
35,21623.8,0,FEMALE,TOWN,YES,NO,YES,NO,YES,NO
19,16625.9,1,MALE,RURAL,YES,NO,NO,YES,NO,YES
27,14014.5,3,FEMALE,TOWN,YES,NO,YES,NO,NO,NO
27,20409.3,2,MALE,INNER_CITY,YES,NO,YES,NO,NO,YES
58,31671.3,1,FEMALE,INNER_CITY,YES,YES,YES,NO,YES,YES
46,17149.2,1,FEMALE,TOWN,NO,YES,YES,YES,NO,YES
61,27756.3,0,FEMALE,TOWN,YES,YES,YES,NO,YES,YES
59,40949.9,0,MALE,INNER_CITY,NO,NO,YES,YES,NO,YES
47,43743.2,3,FEMALE,RURAL,YES,NO,YES,YES,NO,NO
44,38459.9,0,MALE,INNER_CITY,YES,NO,NO,NO,YES,YES
50,40972.9,2,MALE,TOWN,NO,YES,YES,YES,YES,YES
64,46587.9,0,MALE,INNER_CITY,NO,NO,YES,YES,NO,YES
51,43799.6,0,FEMALE,TOWN,NO,NO,YES,YES,YES,NO
46,18912.2,0,FEMALE,TOWN,YES,YES,NO,YES,NO,YES
39,27765.8,3,FEMALE,INNER_CITY,YES,YES,YES,NO,NO,NO
58,33007.3,1,FEMALE,INNER_CITY,NO,YES,NO,YES,NO,YES
32,26325.3,0,FEMALE,TOWN,YES,YES,NO,NO,NO,NO
22,15308.2,0,FEMALE,INNER_CITY,NO,YES,YES,YES,YES,NO
63,59805.6,1,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,YES
35,28658.3,0,FEMALE,TOWN,YES,YES,YES,YES,NO,NO
59,23175,0,FEMALE,INNER_CITY,YES,NO,NO,NO,YES,YES
22,11595.4,0,FEMALE,SUBURBAN,NO,YES,YES,YES,NO,YES
60,50409.9,2,MALE,SUBURBAN,NO,NO,YES,YES,YES,YES
23,11215.3,2,FEMALE,RURAL,YES,YES,YES,YES,NO,YES
29,13327.8,0,FEMALE,TOWN,YES,NO,YES,NO,NO,NO
44,16088.8,3,MALE,INNER_CITY,YES,NO,YES,YES,NO,NO
63,43943,0,FEMALE,TOWN,YES,YES,YES,YES,YES,NO
25,14505.3,3,FEMALE,RURAL,NO,NO,YES,YES,NO,NO
37,33886.4,0,MALE,INNER_CITY,NO,YES,YES,NO,NO,YES
48,16662.5,1,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,YES
35,20262.6,0,FEMALE,TOWN,NO,NO,YES,NO,NO,YES
51,33615.4,1,MALE,TOWN,YES,NO,YES,NO,YES,YES
27,22007.1,3,FEMALE,TOWN,NO,NO,NO,YES,NO,NO
56,28981.1,3,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,NO
38,12163.9,2,FEMALE,INNER_CITY,YES,YES,NO,YES,NO,YES
36,17247.7,2,FEMALE,TOWN,YES,YES,YES,YES,NO,NO
27,12683.6,3,MALE,SUBURBAN,NO,NO,YES,YES,YES,NO
34,16291,0,FEMALE,TOWN,YES,YES,YES,NO,YES,NO
44,18707.3,0,MALE,SUBURBAN,YES,YES,YES,YES,YES,YES
43,19326.9,1,FEMALE,INNER_CITY,YES,NO,NO,YES,NO,YES
32,14511.8,2,MALE,INNER_CITY,NO,NO,YES,NO,YES,NO
21,10672,1,FEMALE,TOWN,NO,NO,YES,YES,YES,NO
30,25830.5,2,FEMALE,INNER_CITY,YES,NO,NO,YES,NO,NO
55,43499.5,1,MALE,RURAL,YES,YES,YES,YES,NO,NO
64,59175.1,1,MALE,SUBURBAN,YES,NO,YES,YES,NO,YES
36,27642.9,1,FEMALE,INNER_CITY,NO,YES,NO,NO,NO,YES
59,30067.5,1,MALE,INNER_CITY,NO,NO,YES,YES,NO,YES
60,29714.4,0,MALE,INNER_CITY,YES,YES,NO,YES,YES,YES
27,13950.4,1,FEMALE,TOWN,NO,YES,YES,YES,YES,NO
29,10072.6,0,MALE,INNER_CITY,YES,NO,NO,YES,NO,NO
53,37850.6,1,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,YES
61,57176.4,2,FEMALE,RURAL,NO,NO,YES,YES,NO,YES
43,38784,0,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO
19,10191.8,0,MALE,INNER_CITY,YES,NO,YES,YES,YES,YES
48,21821.4,1,FEMALE,INNER_CITY,YES,YES,YES,NO,YES,YES
39,37389,2,MALE,RURAL,YES,NO,YES,YES,NO,YES
32,14627.9,2,MALE,INNER_CITY,YES,YES,YES,YES,NO,NO
63,48770.5,1,MALE,SUBURBAN,YES,YES,YES,NO,YES,YES
46,21096.2,1,MALE,RURAL,YES,YES,YES,YES,NO,YES
40,36256.9,0,MALE,INNER_CITY,NO,NO,NO,YES,YES,YES
27,15281.8,0,FEMALE,INNER_CITY,NO,YES,NO,NO,YES,YES
22,9316.98,2,MALE,SUBURBAN,YES,YES,YES,YES,NO,NO
42,20736.2,1,MALE,RURAL,YES,YES,YES,YES,NO,YES
58,52662.5,1,FEMALE,TOWN,YES,YES,YES,YES,YES,YES
23,8020.19,1,FEMALE,INNER_CITY,YES,YES,NO,YES,NO,NO
58,32245.4,3,MALE,SUBURBAN,YES,NO,NO,NO,NO,NO
45,41107.2,2,MALE,INNER_CITY,YES,YES,YES,YES,NO,NO
49,39358.3,0,FEMALE,SUBURBAN,YES,YES,NO,NO,YES,NO
67,36095.9,3,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,NO
20,7723.93,2,FEMALE,TOWN,YES,YES,YES,YES,NO,NO
43,18565.8,1,FEMALE,RURAL,YES,YES,YES,YES,YES,YES
41,25132.9,0,MALE,RURAL,YES,NO,NO,YES,NO,NO
38,31290.6,0,FEMALE,SUBURBAN,YES,NO,YES,YES,NO,NO
67,24858.4,0,FEMALE,SUBURBAN,YES,NO,NO,YES,YES,YES
40,16398.8,1,MALE,INNER_CITY,NO,NO,YES,YES,NO,YES
25,23287.9,0,FEMALE,SUBURBAN,NO,NO,NO,YES,YES,YES
57,50897.6,0,FEMALE,RURAL,YES,NO,YES,YES,NO,NO
32,22446.5,1,FEMALE,INNER_CITY,NO,NO,NO,YES,YES,YES
44,23092.1,0,MALE,SUBURBAN,YES,YES,NO,YES,YES,YES
30,24867.6,0,MALE,TOWN,YES,YES,YES,NO,NO,NO
43,22234.7,0,MALE,TOWN,YES,NO,NO,YES,YES,NO
19,17371.1,2,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,NO
37,29574,0,FEMALE,TOWN,YES,YES,YES,YES,NO,NO
49,17944.2,1,MALE,INNER_CITY,NO,YES,YES,YES,YES,YES
49,33665.5,3,FEMALE,RURAL,NO,YES,NO,YES,NO,NO
40,36166.2,0,MALE,INNER_CITY,YES,NO,NO,NO,NO,NO
33,27712.9,2,FEMALE,SUBURBAN,NO,NO,YES,YES,NO,YES
39,22400.7,2,MALE,TOWN,YES,YES,YES,YES,NO,NO
43,28469.9,0,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,NO
37,30488,0,MALE,TOWN,YES,NO,YES,YES,YES,NO
24,19160.3,1,FEMALE,TOWN,YES,YES,YES,YES,NO,YES
62,45342.5,0,MALE,TOWN,YES,YES,YES,NO,NO,YES
18,6294.21,0,MALE,INNER_CITY,NO,NO,YES,YES,YES,NO
47,25127.7,0,FEMALE,TOWN,YES,YES,NO,NO,NO,NO
63,51879.3,2,MALE,SUBURBAN,YES,YES,YES,NO,YES,YES
20,12644.9,2,MALE,TOWN,YES,YES,NO,YES,YES,NO
46,21984.4,3,FEMALE,TOWN,NO,NO,YES,NO,NO,NO
47,29093.1,2,FEMALE,RURAL,NO,YES,YES,YES,NO,NO
33,23528.4,1,MALE,TOWN,YES,NO,YES,YES,YES,YES
20,9516.91,3,MALE,TOWN,NO,YES,YES,YES,NO,NO
20,18364.9,1,MALE,INNER_CITY,YES,NO,NO,YES,NO,YES
43,31273.8,1,FEMALE,TOWN,NO,YES,YES,NO,NO,YES
58,49673.6,0,MALE,RURAL,YES,NO,YES,YES,NO,NO
29,12623.4,1,MALE,SUBURBAN,YES,YES,YES,YES,NO,NO
25,23818.6,0,MALE,INNER_CITY,YES,NO,NO,NO,NO,NO
40,31473.9,2,FEMALE,INNER_CITY,NO,NO,YES,YES,YES,YES
48,20268,0,MALE,TOWN,YES,NO,YES,YES,NO,NO
65,51417,2,MALE,SUBURBAN,YES,NO,YES,YES,NO,YES
59,30971.8,3,FEMALE,RURAL,YES,YES,YES,YES,YES,NO
61,47025,2,FEMALE,INNER_CITY,NO,YES,YES,YES,YES,NO
30,9672.25,0,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,NO
31,15976.3,0,FEMALE,TOWN,YES,YES,YES,NO,NO,YES
29,14711.8,0,MALE,INNER_CITY,YES,NO,YES,NO,YES,NO
38,26671.6,0,MALE,TOWN,NO,YES,NO,YES,YES,YES
